Species,current_clim_current_lc,current_clim_future_SSP5_lc,future_clim_current_lc,future_clim_future_SSP5_lc,change_rel_lc,change_rel_cc,change_rel_both,additive,additive_new,add_diff,combined,Family,Threat_status,Range_area,add_sign,comb_sign,threatened
Allobates_pittieri,4093.4531361397094,4071.450761418113,0,0,-0.5375015662777453,-100,-100,-100.53750156627774,-101.07500313255548,-0.53750156627774,-100,AROMOBATIDAE,LC,0.869366502469,-,-,Not-threatened
Allobates_ranoides,153.06246154766407,148.42746879219806,0,0,-3.0281707928907613,-100,-100,-103.02817079289076,-106.05634158578154,-3.0281707928907764,-100,AROMOBATIDAE,EN,0.177221319193,-,-,Threatened
Allobates_sumtuosus,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AROMOBATIDAE,DD,12.8309264859,NA,NA,Not-applicable
Allobates_talamancae,81888.77026619916,81354.0678825171,43267.89218567482,42897.06038957655,-0.6529617943264749,-47.16260600199256,-47.6154541701758,-47.81556779631903,-48.12352159472078,-0.30795379840174775,-47.6154541701758,AROMOBATIDAE,LC,9.4744668901329,-,-,Not-threatened
Allobates_trilineatus,631225.2433898497,628513.5510108887,0,0,-0.4295918782332748,-100,-100,-100.42959187823328,-100.85918375646656,-0.42959187823328193,-100,AROMOBATIDAE,LC,65.6531801997,-,-,Not-threatened
Allobates_vanzolinius,87754.21003798058,87564.42275950157,0,0,-0.21627142264384544,-100,-100,-100.21627142264384,-100.43254284528768,-0.21627142264384247,-100,AROMOBATIDAE,DD,7.55343858283,-,-,Not-applicable
Allobates_zaparo,41954.02393885102,41930.761450624996,0,0,-0.05544757341973573,-100,-100,-100.05544757341974,-100.11089514683947,-0.05544757341972684,-100,AROMOBATIDAE,LC,3.687083938,-,-,Not-threatened
Allopaa_hazarensis,4694.850971170972,4683.346164812502,4179.26240390098,4167.757597542511,-0.24505157733687322,-10.982000716018387,-11.227052293355241,-11.22705229335526,-11.253963859333016,-0.02691156597775546,-11.227052293355241,DICROGLOSSIDAE,LC,4.12317981769,-,-,Not-threatened
Allophryne_ruthveni,2544522.0884458944,2534462.2848280882,0,0,-0.3953513967705563,-100,-100,-100.39535139677055,-100.79070279354112,-0.39535139677056463,-100,ALLOPHRYNIDAE,LC,249.119112571,-,-,Not-threatened
Alsodes_australis,2404.0484164582303,2401.0207569873432,719.9974511715781,719.9974511715781,-0.12594003723717043,-70.05062600892556,-70.05062600892556,-70.17656604616273,-70.26478783064324,-0.08822178448050977,-70.05062600892556,ALSODIDAE,DD,0.70386379358,-,-,Not-applicable
Alsodes_barrioi,1210.880082837491,1188.4865574065057,0,0,-1.8493594657622892,-100,-100,-101.84935946576229,-103.69871893152455,-1.8493594657622623,-100,ALSODIDAE,EN,0.231359759919,-,-,Threatened
Alsodes_valdiviensis,503.4353425356304,503.4353425356304,0,0,0,-100,-100,-100,-100,0,-100,ALSODIDAE,DD,0.0799810891486,-,-,Not-applicable
Alytes_cisternasii,80907.53166644188,81793.81364508781,0,0,1.0954258032488386,-100,-100,-98.90457419675116,-97.80914839350233,1.0954258032488298,-100,ALYTIDAE,NT,17.812213995,-,-,Not-threatened
Alytes_dickhilleni,9349.599526809972,9349.599526809972,0,0,0,-100,-100,-100,-100,0,-100,ALYTIDAE,VU,3.14027736,-,-,Threatened
Alytes_maurus,2228.280008901849,2711.5792256377285,0,0,21.689339526680985,-100,-100,-78.31066047331902,-56.62132094663803,21.68933952668099,-100,ALYTIDAE,NT,0.50840299,-,-,Not-threatened
Alytes_obstetricans,164688.1693327981,164688.1693327981,15600.6172325196,15600.6172325196,0,-90.52717794136491,-90.52717794136491,-90.52717794136491,-90.52717794136491,0,-90.52717794136491,ALYTIDAE,LC,113.856867255,-,-,Not-threatened
Amazophrynella_bokermanni,14529.704869548666,14432.964900555804,0,0,-0.6658082174512021,-100,-100,-100.6658082174512,-101.33161643490239,-0.6658082174511861,-100,BUFONIDAE,LC,1.46956713726,-,-,Not-threatened
Amazophrynella_minuta,4145848.3417605897,4129811.811037204,0,0,-0.3868093910202076,-100,-100,-100.38680939102021,-100.77361878204042,-0.3868093910202077,-100,BUFONIDAE,LC,421.823093773,-,-,Not-threatened
Ambystoma_altamirani,461.516064262015,457.396557313017,0,0,-0.8926031546887231,-100,-100,-100.89260315468873,-101.78520630937746,-0.8926031546887288,-100,AMBYSTOMATIDAE,EN,0.123801199932,-,-,Threatened
Ambystoma_annulatum,10719.690228021414,10457.353010444478,9590.501013504543,9439.687233039775,-2.4472462542917834,-10.533785869718097,-11.940671491007219,-12.98103212400988,-13.238819804141656,-0.25778768013177533,-11.940671491007219,AMBYSTOMATIDAE,LC,14.2191857487,-,-,Not-threatened
Ambystoma_barbouri,1314.7352705123167,1023.5153922644663,0,0,-22.150457569634526,-100,-100,-122.15045756963453,-144.30091513926902,-22.150457569634497,-100,AMBYSTOMATIDAE,NT,7.12277161652,-,-,Not-threatened
Ambystoma_bishopi,10175.855676792109,9860.121851969749,9784.593685333413,9482.129946326339,-3.1027742024923657,-3.845003347984189,-6.8173699834200505,-6.947777550476555,-7.067079322442771,-0.1193017719662155,-6.8173699834200505,AMBYSTOMATIDAE,VU,2.67672707927,-,-,Threatened
Ambystoma_gracile,154439.28286705317,152343.02655633475,0,0,-1.3573336212153724,-100,-100,-101.35733362121537,-102.71466724243075,-1.3573336212153748,-100,AMBYSTOMATIDAE,LC,42.2977481117,-,-,Not-threatened
Ambystoma_jeffersonianum,44587.010395482896,41004.27077931016,0,0,-8.03538874751671,-100,-100,-108.0353887475167,-116.07077749503341,-8.035388747516706,-100,AMBYSTOMATIDAE,LC,50.16206996512,-,-,Not-threatened
Ambystoma_laterale,848159.5319972142,844186.2933119441,42484.891974978964,42238.16381086803,-0.46845416874748075,-94.99093149670355,-95.02002132648238,-95.45938566545104,-95.90437464397938,-0.4449889785283432,-95.02002132648238,AMBYSTOMATIDAE,LC,238.8498893761411,-,-,Not-threatened
